model,standard,n,binary_accuracy,wilson_low,wilson_high,rubric_mean,refusal_rate,run_acc_std
Llama 3.1 8b,HS-PS1-6,36,0.6667,0.5033,0.7979,0.75,0.0,0.1361
Llama 3.1 8b,HS-PS1-7,36,0.6944,0.5314,0.82,0.75,0.0,0.0393
Llama 3.1 8b,HS-PS1-8,33,0.6667,0.4961,0.8025,0.7143,0.0,0.0429
Llama 3.1 8b,HS-PS2-1,48,0.8542,0.7283,0.9275,0.8846,0.0,0.0295
Llama 3.1 8b,HS-PS2-2,63,0.7619,0.6436,0.8501,0.8333,0.0,0.0778
Llama 3.1 8b,HS-PS2-3,72,0.8056,0.6997,0.8805,0.869,0.0,0.1039
Llama 3.1 8b,HS-PS2-4,72,0.8333,0.7309,0.902,0.8846,0.0,0.09
Llama 3.1 8b,HS-PS2-5,42,0.7381,0.5893,0.847,0.8889,0.0,0.0891
Llama 3.1 8b,HS-PS3-1,63,0.9365,0.8478,0.975,0.9524,0.0,0.0594
Llama 3.1 8b,HS-PS3-2,57,0.807,0.6866,0.8887,0.8889,0.0,0.0895
Llama 3.1 8b,HS-PS3-3,57,0.9123,0.8106,0.9619,0.9762,0.0,0.0496
Llama 3.1 8b,HS-PS3-4,54,0.6111,0.4779,0.7296,0.6389,0.0,0.0454
