model,area,question_type,n,binary_accuracy,wilson_low,wilson_high,rubric_mean,refusal_rate,run_acc_std
Nemotron 3 Nano 30ba3,HS-LS1,conceptual,99,0.9394,0.874,0.9719,0.9646,0.0,0.0247
Nemotron 3 Nano 30ba3,HS-LS1,recall,96,0.9479,0.8838,0.9776,,0.0,0.0147
Nemotron 3 Nano 30ba3,HS-LS2,applied,84,0.9643,0.9002,0.9878,0.9643,0.0,0.0
Nemotron 3 Nano 30ba3,HS-LS2,conceptual,87,0.9885,0.9377,0.998,0.9943,0.0,0.0163
Nemotron 3 Nano 30ba3,HS-LS2,recall,93,0.9677,0.9094,0.989,,0.0,0.0
Nemotron 3 Nano 30ba3,HS-LS3,applied,93,0.9785,0.9249,0.9941,0.9839,0.0,0.0304
Nemotron 3 Nano 30ba3,HS-LS3,conceptual,93,0.957,0.8946,0.9831,0.9731,0.0,0.0152
Nemotron 3 Nano 30ba3,HS-LS3,recall,96,0.9583,0.8977,0.9837,,0.0,0.0147
Nemotron 3 Nano 30ba3,HS-LS4,applied,96,0.9896,0.9433,0.9982,0.9948,0.0,0.0147
Nemotron 3 Nano 30ba3,HS-LS4,conceptual,96,0.9896,0.9433,0.9982,0.9948,0.0,0.0147
Nemotron 3 Nano 30ba3,HS-LS4,recall,93,0.9032,0.8262,0.9482,,0.0,0.0263
Nemotron 3 Nano 30ba3,HS-PS1,applied,99,0.9899,0.945,0.9982,0.9899,0.0,0.0143
Nemotron 3 Nano 30ba3,HS-PS1,conceptual,99,0.9293,0.8612,0.9653,0.9545,0.0,0.0623
Nemotron 3 Nano 30ba3,HS-PS1,recall,99,0.9495,0.8872,0.9782,,0.0,0.0515
Nemotron 3 Nano 30ba3,HS-PS2,applied,102,0.9804,0.9313,0.9946,0.9853,0.0,0.0139
Nemotron 3 Nano 30ba3,HS-PS2,conceptual,99,0.9899,0.945,0.9982,0.9949,0.0,0.0143
Nemotron 3 Nano 30ba3,HS-PS2,recall,96,0.9792,0.9272,0.9943,,0.0,0.0147
Nemotron 3 Nano 30ba3,HS-PS3,applied,96,0.9896,0.9433,0.9982,0.9896,0.0,0.0147
Nemotron 3 Nano 30ba3,HS-PS3,conceptual,90,0.9444,0.8765,0.976,0.9722,0.0,0.0416
Nemotron 3 Nano 30ba3,HS-PS3,recall,93,0.9892,0.9416,0.9981,,0.0,0.0152
Nemotron 3 Nano 30ba3,HS-PS4,applied,102,0.9902,0.9465,0.9983,0.9951,0.0,0.0139
Nemotron 3 Nano 30ba3,HS-PS4,conceptual,96,0.9583,0.8977,0.9837,0.9792,0.0,0.0147
Nemotron 3 Nano 30ba3,HS-PS4,recall,96,0.9792,0.9272,0.9943,,0.0,0.0147
OSS 120b,HS-ESS1,applied,96,0.9688,0.9121,0.9893,0.9844,0.0,0.0255
